SIN ,Model # ,Description ,GSA Rate
132-12 ,MPP3-NAC1 ,"Three Year Package Maintenance Program for NAC-3001  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering NAC-DVB ONLY.  Repair turnaround time is three (3","$1,080.54 "
132-12 ,MPP3-NAC2 ,"Three Year Package Maintenance Program for NAC-3002         (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3002 ONLY.  Repair turnaround time","$1,584.80 "
132-12 ,MPP3-NAC3 ,"Three Year Package Maintenance Program for NAC-3003  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3003 ONLY.  Repair turnaround time is thr","$1,584.80 "
132-12 ,MPP3-NAC4 ,"Three Year Package Maintenance Program for NAC-3004  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3004 ONLY.  Repair turnaround time is thr","$2,161.09 "
132-12 ,MPP3-NAC4K ,"Three Year Package Maintenance Program for NAC-4001  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering NAC-4001 ONLY.  Repair turnaround time is three (",$792.40 
132-12 ,MPP3-NAC5D ,"Three Year Package Maintenance Program for NAC-3001D  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering NAC-3001D ONLY.  Repair turnaround time is three","$1,080.54 "
132-12 ,MPP3-NAC6D ,"Three Year Package Maintenance Program for NAC-3002D (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3002D ONLY.  Repair turnaround time is th","$1,584.80 "
132-12 ,MPP3-NAC7D ,"Three Year Package Maintenance Program for NAC-3003D  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3003D ONLY.  Repair turnaround time is t","$1,584.80 "
132-12 ,MPP3-NAC8D ,"Three Year Package Maintenance Program for NAC-3004D  (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering the NAC-3004D ONLY.  Repair turnaround time is t","$2,161.09 "
132-12 ,MPP3-OV-5001 ,"Three Year Package Maintenance Program for OV-5001 (Package includes Year 1, 2, & 3).  Enhancement of standard return-to-factory warranty for twelve (12) months, plus two (2) additional years covering OV-5001 ONLY. Repair turnaround time is three (3) busi","$1,981.00 "
132-12 ,MPP3-VS-2001D ,"Three Year Package Maintenance Program for VS-2001D System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2001D ONLY.  Repair turnaround time is ","$1,822.52 "
132-12 ,MPP3-VS-2002D ,"Three Year Package Maintenance Program for VS-2002D System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2002D ONLY.  Repair turnaround time is ","$2,218.72 "
132-12 ,MPP3-VS-2003D ,"Three Year Package Maintenance Program for VS-2003D System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2003D ONLY.  Repair turnaround time is ","$2,614.92 "
132-12 ,MPP3-VS-2004D ,"Three Year Package Maintenance Program for VS-2004D System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2004D ONLY.  Repair turnaround time is ","$2,931.88 "
132-12 ,MPP3-VS-2005D ,"Three Year Package Maintenance Program for VS-2005D System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2005D ONLY.  Repair turnaround time is ","$3,248.83 "
132-12 ,MPP3-VS-2310 ,"Three Year Package Maintenance Program for VS-2310 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2310 ONLY.  Repair turnaround time is th","$4,323.62 "
132-12 ,MPP3-VS-2311 ,"Three Year Package Maintenance Program for VS-2311 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2311 ONLY.  Repair turnaround time is th","$4,719.82 "
132-12 ,MPP3-VS-2312 ,"Three Year Package Maintenance Program for VS-2312 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2312 ONLY.  Repair turnaround time is th","$5,116.01 "
132-12 ,MPP3-VS-2313 ,"Three Year Package Maintenance Program for VS-2313 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2313 ONLY.  Repair turnaround time is th","$5,512.21 "
132-12 ,MPP3-VS-2314 ,"Three Year Package Maintenance Program for VS-2314 System. (Package includes Year 1, 2 & 3)  Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2314 ONLY.  Repair turnaround time is t","$5,908.41 "
132-12 ,MPP3-VS-2320 ,"Three Year Package Maintenance Program for VS-2320 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2320 ONLY.  Repair turnaround time is th","$7,061.71 "
132-12 ,MPP3-VS-2321 ,"Three Year Package Maintenance Program for VS-2321 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2321 ONLY.  Repair turnaround time is th","$7,457.91 "
132-12 ,MPP3-VS-2322 ,"Three Year Package Maintenance Program for VS-2322 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2322 ONLY.  Repair turnaround time is th","$7,854.11 "
132-12 ,MPP3-VS-2330 ,"Three Year Package Maintenance Program for VS-2330 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2330 ONLY.  Repair turnaround time is th","$9,800.53 "
132-12 ,MPP3-VS-2331 ,"Three Year Package Maintenance Program for VS-2331 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2331 ONLY.  Repair turnaround time is th","$10,196.73 "
132-12 ,MPP3-VS-2340 ,"Three Year Package Maintenance Program for VS-2340 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2340 ONLY.  Repair turnaround time is th","$12,380.15 "
132-12 ,MPP3-VS-2341 ,"Three Year Package Maintenance Program for VS-2341 System. (Package includes Year 1, 2 & 3) Enhancement of standard return-to-factory warranty for first twelve (12) months, plus two (2) additional years covering VS-2341 ONLY.  Repair turnaround time is th","$12,776.35 "
132-12 ,EEW1-NAC1 ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3001 ,$576.29 
132-12 ,EEW1-NAC2 ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3002 ,$864.44 
132-12 ,EEW1-NAC3 ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3003 ,$864.44 
132-12 ,EEW1-NAC4 ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3004 ,"$1,152.58 "
132-12 ,EEW1-NAC4K ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-4001 ,$432.22 
132-12 ,EEW1-NAC5D ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3001D ,$576.29 
132-12 ,EEW1-NAC6D ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3002D ,$864.44 
132-12 ,EEW1-NAC7D ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3003D ,$864.44 
132-12 ,EEW1-NAC8D ,Extended Enhanced Maintenance Program (Additional 12 Months) for NAC-3004D ,"$1,152.58 "
132-12 ,EEW1-OV-5001 ,Extended Enhanced Maintenance Program (Additional 12 Months) for OV-5001 ,$936.47 
132-12 ,EEW1-VS-2001D ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2001D System. ,$994.10 
132-12 ,EEW1-VS-2002D ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2002D System. ,"$1,210.21 "
132-12 ,EEW1-VS-2003D ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2003D System. ,"$1,426.32 "
132-12 ,EEW1-VS-2004D ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2004D System. ,"$1,599.20 "
132-12 ,EEW1-VS-2005D ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2005D System. ,"$1,772.09 "
132-12 ,EEW1-VS-2310 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2310 System. ,"$2,358.47 "
132-12 ,EEW1-VS-2311 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2311 System. ,"$2,574.58 "
132-12 ,EEW1-VS-2312 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2312 System. ,"$2,790.68 "
132-12 ,EEW1-VS-2313 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2313 System. ,"$3,006.79 "
132-12 ,EEW1-VS-2314 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2314 System. ,"$3,222.90 "
132-12 ,EEW1-VS-2320 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2320 System. ,"$3,851.77 "
132-12 ,EEW1-VS-2321 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2321 System. ,"$4,067.88 "
132-12 ,EEW1-VS-2322 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2322 System. ,"$4,283.99 "
132-12 ,EEW1-VS-2330 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2330 System. ,"$5,345.81 "
132-12 ,EEW1-VS-2331 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2331 System. ,"$5,561.91 "
132-12 ,EEW1-VS-2340 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2340 System. ,"$6,752.68 "
132-12 ,EEW1-VS-2341 ,Extended Enhanced Maintenance Program (Additional 12 Months) for VS-2341 System. ,"$6,968.79 "
132-12 ,EEW2-NAC1 ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3001 ,"$1,037.32 "
132-12 ,EEW2-NAC2 ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3002 ,"$1,555.98 "
132-12 ,EEW2-NAC3 ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3003 ,"$1,555.98 "
132-12 ,EEW2-NAC4 ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3004 ,"$2,074.64 "
132-12 ,EEW2-NAC4K ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-4001 ,$777.99 
132-12 ,EEW2-NAC5D ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3001D ,"$1,037.32 "
132-12 ,EEW2-NAC6D ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3002D ,"$1,555.98 "
132-12 ,EEW2-NAC7D ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3003D ,"$1,555.98 "
132-12 ,EEW2-NAC8D ,Extended Enhanced Maintenance Program (Additional 24 Months) for NAC-3004D ,"$2,074.64 "
132-12 ,EEW2-OV-5001 ,Extended Enhanced Maintenance Program (Additional 24 Months) for OV-5001 ,"$1,656.83 "
132-12 ,EEW2-VS-2001D ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2001D System. ,"$1,789.38 "
132-12 ,EEW2-VS-2002D ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2002D System. ,"$2,178.38 "
132-12 ,EEW2-VS-2003D ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2003D System. ,"$2,567.37 "
132-12 ,EEW2-VS-2004D ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2004D System. ,"$2,878.57 "
132-12 ,EEW2-VS-2005D ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2005D System. ,"$3,189.77 "
132-12 ,EEW2-VS-2310 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2310 System. ,"$4,245.09 "
132-12 ,EEW2-VS-2311 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2311 System. ,"$4,634.09 "
132-12 ,EEW2-VS-2312 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2312 System. ,"$5,023.08 "
132-12 ,EEW2-VS-2313 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2313 System. ,"$5,412.08 "
132-12 ,EEW2-VS-2314 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2314 System. ,"$5,801.07 "
132-12 ,EEW2-VS-2320 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2320 System. ,"$6,933.48 "
132-12 ,EEW2-VS-2321 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2321 System. ,"$7,322.48 "
132-12 ,EEW2-VS-2322 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2322 System. ,"$7,711.48 "
132-12 ,EEW2-VS-2330 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2330 System. ,"$9,622.60 "
132-12 ,EEW2-VS-2331 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2331 System. ,"$10,011.60 "
132-12 ,EEW2-VS-2340 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2340 System. ,"$12,154.67 "
132-12 ,EEW2-VS-2341 ,Extended Enhanced Maintenance Program (Additional 24 Months) for VS-2341 System. ,"$12,543.67 "
132-12 ,EMO1-NAC1 ,Extended Maintenance Program (Additional 12 Months) for NAC-3001 ,$576.29 
132-12 ,EMO1-NAC2 ,Extended Maintenance Program (Additional 12 Months) for NAC-3002 ,$864.44 
132-12 ,EMO1-NAC3 ,Extended Maintenance Program (Additional 12 Months) for NAC-3003 ,$864.44 
132-12 ,EMO1-NAC4 ,Extended Maintenance Program (Additional 12 Months) for NAC-3004 ,"$1,152.58 "
132-12 ,EMO1-NAC4K ,Extended Maintenance Program (Additional 12 Months) for NAC-4001 ,$432.22 
132-12 ,EMO1-NAC5D ,Extended Maintenance Program (Additional 12 Months) for NAC-3001D ,$576.29 
132-12 ,EMO1-NAC6D ,Extended Maintenance Program (Additional 12 Months) for NAC-3002D ,$864.44 
132-12 ,EMO1-NAC7D ,Extended Maintenance Program (Additional 12 Months) for NAC-3003D ,$864.44 
132-12 ,EMO1-NAC8D ,Extended Maintenance Program (Additional 12 Months) for NAC-3004D ,"$1,152.58 "
132-12 ,EMO1-OV-5001 ,Extended Enhanced Maintenance Program (Additional 12 Months) for OV-5001 ,$936.47 
132-12 ,EMO1-VS-2001D ,Extended Maintenance Program (Additional 12 Months) for VS-2001D System. ,$994.10 
132-12 ,EMO1-VS-2002D ,Extended Maintenance Program (Additional 12 Months) for VS-2002D System. ,"$1,210.21 "
132-12 ,EMO1-VS-2003D ,Extended Maintenance Program (Additional 12 Months) for VS-2003D System. ,"$1,426.32 "
132-12 ,EMO1-VS-2004D ,Extended Maintenance Program (Additional 12 Months) for VS-2004D System. ,"$1,599.20 "
132-12 ,EMO1-VS-2005D ,Extended Maintenance Program (Additional 12 Months) for VS-2005D System. ,"$1,772.09 "
132-12 ,EMO1-VS-2310 ,Extended Maintenance Program (Additional 12 Months) for VS-2310 System. ,"$2,358.47 "
132-12 ,EMO1-VS-2311 ,Extended Maintenance Program (Additional 12 Months) for VS-2311 System. ,"$2,574.58 "
132-12 ,EMO1-VS-2312 ,Extended Maintenance Program (Additional 12 Months) for VS-2312 System. ,"$2,790.68 "
132-12 ,EMO1-VS-2313 ,Extended Maintenance Program (Additional 12 Months) for VS-2313 System. ,"$3,006.79 "
132-12 ,EMO1-VS-2314 ,Extended Maintenance Program (Additional 12 Months) for VS-2314 System. ,"$3,222.90 "
132-12 ,EMO1-VS-2320 ,Extended Maintenance Program (Additional 12 Months) for VS-2320 System. ,"$3,851.77 "
132-12 ,EMO1-VS-2321 ,Extended Maintenance Program (Additional 12 Months) for VS-2321 System. ,"$4,067.88 "
132-12 ,EMO1-VS-2322 ,Extended Maintenance Program (Additional 12 Months) for VS-2322 System. ,"$4,283.99 "
132-12 ,EMO1-VS-2330 ,Extended Maintenance Program (Additional 12 Months) for VS-2330 System. ,"$5,345.81 "
132-12 ,EMO1-VS-2331 ,Extended Maintenance Program (Additional 12 Months) for VS-2331 System. ,"$5,561.91 "
132-12 ,EMO1-VS-2340 ,Extended Maintenance Program (Additional 12 Months) for VS-2340 System. ,"$6,752.68 "
132-12 ,EMO1-VS-2341 ,Extended Maintenance Program (Additional 12 Months) for VS-2341 System. ,"$6,968.79 "
132-12 ,EMO2-NAC1 ,Extended Maintenance Program (Additional 24 Months) for NAC-3001 ,"$1,037.32 "
132-12 ,EMO2-NAC2 ,Extended Maintenance Program (Additional 24 Months) for NAC-3002 ,"$1,555.98 "
132-12 ,EMO2-NAC3 ,Extended Maintenance Program (Additional 24 Months) for NAC-3003 ,"$1,555.98 "
132-12 ,EMO2-NAC4 ,Extended Maintenance Program (Additional 24 Months) for NAC-3004 ,"$2,074.64 "
132-12 ,EMO2-NAC4K ,Extended Maintenance Program (Additional 24 Months) for NAC-4001 ,$777.99 
132-12 ,EMO2-NAC5D ,Extended Maintenance Program (Additional 24 Months) for NAC-3001D ,"$1,037.32 "
132-12 ,EMO2-NAC6D ,Extended Maintenance Program (Additional 24 Months) for NAC-3002D ,"$1,555.98 "
132-12 ,EMO2-NAC7D ,Extended Maintenance Program (Additional 24 Months) for NAC-3003D ,"$1,555.98 "
132-12 ,EMO2-NAC8D ,Extended Maintenance Program (Additional 24 Months) for NAC-3004D ,"$2,074.64 "
132-12 ,EMO2-OV-5001 ,Extended Enhanced Maintenance Program (Additional 24 Months) for OV-5001 ,"$1,656.83 "
132-12 ,EMO2-VS-2001D ,Extended Maintenance Program (Additional 24 Months) for VS-2001D System. ,"$1,789.38 "
132-12 ,EMO2-VS-2002D ,Extended Maintenance Program (Additional 24 Months) for VS-2002D System. ,"$2,178.38 "
132-12 ,EMO2-VS-2003D ,Extended Maintenance Program (Additional 24 Months) for VS-2003D System. ,"$2,567.37 "
132-12 ,EMO2-VS-2004D ,Extended Maintenance Program (Additional 24 Months) for VS-2004D System. ,"$2,878.57 "
132-12 ,EMO2-VS-2005D ,Extended Maintenance Program (Additional 24 Months) for VS-2005D System. ,"$3,189.77 "
132-12 ,EMO2-VS-2310 ,Extended Maintenance Program (Additional 24 Months) for VS-2310 System. ,"$4,245.09 "
132-12 ,EMO2-VS-2311 ,Extended Maintenance Program (Additional 24 Months) for VS-2311 System. ,"$4,634.09 "
132-12 ,EMO2-VS-2312 ,Extended Maintenance Program (Additional 24 Months) for VS-2312 System. ,"$5,023.08 "
132-12 ,EMO2-VS-2313 ,Extended Maintenance Program (Additional 24 Months) for VS-2313 System. ,"$5,412.08 "
132-12 ,EMO2-VS-2314 ,Extended Maintenance Program (Additional 24 Months) for VS-2314 System. ,"$5,801.07 "
132-12 ,EMO2-VS-2320 ,Extended Maintenance Program (Additional 24 Months) for VS-2320 System. ,"$6,933.48 "
132-12 ,EMO2-VS-2321 ,Extended Maintenance Program (Additional 24 Months) for VS-2321 System. ,"$7,322.48 "
132-12 ,EMO2-VS-2322 ,Extended Maintenance Program (Additional 24 Months) for VS-2322 System. ,"$7,711.48 "
132-12 ,EMO2-VS-2330 ,Extended Maintenance Program (Additional 24 Months) for VS-2330 System. ,"$9,622.60 "
132-12 ,EMO2-VS-2331 ,Extended Maintenance Program (Additional 24 Months) for VS-2331 System. ,"$10,011.60 "
132-12 ,EMO2-VS-2340 ,Extended Maintenance Program (Additional 24 Months) for VS-2340 System. ,"$12,154.67 "
132-12 ,EMO2-VS-2341 ,Extended Maintenance Program (Additional 12 Months) for VS-2341 System. ,"$12,543.67 "
